model,appliance,category,experiment,recall,f1,precision,accuracy,MAE,RETE,epochs,hparams
VIBFNET,dish washer,Single,Train_UKDALE_test_1_UKDALE,0.243,0.311,0.43,0.975,17.253,-1.694,6,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBShortFNET,dish washer,Single,Train_UKDALE_test_1_UKDALE,0.297,0.36,0.456,0.975,15.228,-1.0290000000000001,9,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,dish washer,Single,Train_UKDALE_test_1_UKDALE,0.247,0.218,0.195,0.958,18.845,-1.0590000000000002,8,"{'window_size': 500, 'dropout': 0}"
VIBWGRU,dish washer,Single,Train_UKDALE_test_1_UKDALE,0.22399999999999998,0.341,0.716,0.98,12.142999999999999,-3.681,11,{'dropout': 0.25}
VIB_SAED,dish washer,Single,Train_UKDALE_test_1_UKDALE,0.389,0.217,0.15,0.934,22.269000000000002,-4.417,7,{'window_size': 500}
VIBFNET,dish washer,Single,Train_UKDALE_test_2_UKDALE,0.401,0.534,0.7979999999999999,0.9790000000000001,30.549,1.068,6,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBShortFNET,dish washer,Single,Train_UKDALE_test_2_UKDALE,0.395,0.45399999999999996,0.535,0.972,33.347,0.89,9,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,dish washer,Single,Train_UKDALE_test_2_UKDALE,0.29,0.34299999999999997,0.42100000000000004,0.9670000000000001,36.373000000000005,1.228,8,"{'window_size': 500, 'dropout': 0}"
VIBWGRU,dish washer,Single,Train_UKDALE_test_2_UKDALE,0.325,0.478,0.905,0.9790000000000001,29.754,1.188,11,{'dropout': 0.25}
VIB_SAED,dish washer,Single,Train_UKDALE_test_2_UKDALE,0.504,0.36200000000000004,0.28300000000000003,0.9470000000000001,37.945,1.486,7,{'window_size': 500}
VIBFNET,fridge,Single,Train_UKDALE_test_1_UKDALE,0.6809999999999999,0.735,0.799,0.792,21.718000000000004,0.982,6,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBShortFNET,fridge,Single,Train_UKDALE_test_1_UKDALE,0.713,0.759,0.8109999999999999,0.8079999999999999,21.263,0.782,6,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,fridge,Single,Train_UKDALE_test_1_UKDALE,0.557,0.669,0.836,0.7659999999999999,25.471999999999998,2.4130000000000003,6,"{'window_size': 500, 'dropout': 0}"
VIBWGRU,fridge,Single,Train_UKDALE_test_1_UKDALE,0.696,0.765,0.8490000000000001,0.8190000000000001,20.062,1.3019999999999998,5,{'dropout': 0.25}
VIB_SAED,fridge,Single,Train_UKDALE_test_1_UKDALE,0.6859999999999999,0.7340000000000001,0.789,0.789,24.248,0.633,6,{'window_size': 500}
VIBFNET,fridge,Single,Train_UKDALE_test_2_UKDALE,0.738,0.792,0.855,0.823,21.185,0.8170000000000001,6,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBShortFNET,fridge,Single,Train_UKDALE_test_2_UKDALE,0.723,0.785,0.858,0.8190000000000001,21.14,0.851,6,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,fridge,Single,Train_UKDALE_test_2_UKDALE,0.541,0.6729999999999999,0.8909999999999999,0.76,27.471,1.749,6,"{'window_size': 500, 'dropout': 0}"
VIBWGRU,fridge,Single,Train_UKDALE_test_2_UKDALE,0.711,0.7929999999999999,0.897,0.831,21.149,1.15,5,{'dropout': 0.25}
VIB_SAED,fridge,Single,Train_UKDALE_test_2_UKDALE,0.622,0.73,0.884,0.79,23.94,1.23,6,{'window_size': 500}
VIBFNET,kettle,Single,Train_UKDALE_test_1_UKDALE,0.715,0.7559999999999999,0.8029999999999999,0.997,10.51,2.225,5,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
